Range,Goodput
713000,0.99
714000,0.994
715000,0.993
716000,0.994
717000,0.991
718000,0.998
719000,0.993
720000,0.993
721000,0.996
722000,0.996
723000,0.996
724000,0.994
725000,0.995
726000,0.993
727000,0.991
728000,0.998
729000,0.992
730000,0.995
731000,0.996
732000,0.994
733000,0.993
734000,0.994
735000,0.993
736000,0.996
737000,0.997
738000,0.997
739000,0.994
740000,0.991
741000,0.993
742000,0.996
743000,0.995
744000,0.994
745000,0.996
746000,0.993
747000,0.992
748000,0.99
749000,0.994
750000,0.998
751000,0.984
752000,0.992
753000,0.994
754000,0.99
755000,0.992
756000,0.994
757000,0.995
758000,0.995
759000,0.992
760000,0.996
761000,0.99
762000,0.996
763000,0.991
764000,0.991
765000,0.993
766000,0.991
767000,0.994
768000,0.997
769000,0.991
770000,0.993
771000,0.994
772000,0.995
773000,0.994
774000,0.995
775000,0.99
776000,0.991
777000,0.993
778000,0.995
779000,0.995
780000,0.993
781000,0.989
782000,0.994
783000,0.997
784000,0.986
785000,0.994
786000,0.998
787000,0.991
788000,0.996
789000,0.997
790000,0.991
791000,0.996
792000,0.991
793000,0.99
794000,0.995
795000,0.988
796000,0.996
797000,0.99
798000,0.994
799000,0.994
800000,0.993
801000,0.989
802000,0.988
803000,0.988
804000,0.995
805000,0.995
806000,0.992
807000,0.99
808000,0.991
809000,0.991
810000,0.994
811000,0.995
812000,0.989
813000,0.991
814000,0.997
815000,0.993
816000,0.995
817000,0.995
818000,0.996
819000,0.991
820000,0.995
821000,0.994
822000,0.994
823000,0.994
824000,0.994
825000,0.992
826000,0.997
827000,0.991
828000,0.996
829000,0.991
830000,0.993
831000,0.99
832000,0.991
833000,0.995
834000,0.991
835000,0.995
836000,0.997
837000,0.996
838000,0.997
839000,0.998
840000,0.993
841000,0.992
842000,0.994
843000,0.997
844000,0.988
845000,0.994
846000,0.999
847000,0.996
848000,0.994
849000,0.995
850000,0.996
851000,0.992
852000,0.997
853000,0.991
854000,0.991
855000,0.996
856000,0.997
857000,0.994
858000,0.992
859000,0.99
860000,0.996
861000,0.992
862000,0.993
863000,0.995
864000,0.994
865000,0.996
866000,0.991
867000,0.991
868000,0.994
869000,0.997
870000,0.992
871000,0.999
872000,0.994
873000,0.998
874000,0.996
875000,0.995
876000,0.996
877000,0.989
878000,0.99
879000,0.994
880000,0.994
881000,0.993
882000,0.994
883000,0.99
884000,0.996
885000,0.992
886000,0.995
887000,0.994
888000,0.995
889000,1.0
890000,0.996
891000,0.996
892000,0.992
893000,0.994
894000,0.997
895000,0.993
896000,0.992
897000,0.994
898000,0.995
899000,0.996
900000,0.997
901000,0.995
902000,0.991
903000,0.996
904000,0.993
905000,0.996
906000,0.988
907000,0.994
908000,0.988
909000,0.995
910000,0.995
911000,0.989
912000,0.996
913000,0.996
914000,0.988
915000,0.993
916000,0.992
917000,0.993
918000,0.996
919000,0.994
920000,0.996
921000,0.997
922000,0.99
923000,0.99
924000,0.994
925000,0.993
926000,0.994
927000,0.994
928000,0.994
929000,0.996
930000,0.997
931000,0.997
932000,0.997
933000,0.995
934000,0.992
935000,0.999
936000,0.994
937000,0.995
938000,0.995
939000,0.995
940000,0.994
941000,0.993
942000,0.993
943000,0.99
944000,0.996
945000,0.992
946000,0.987
947000,0.992
948000,0.989
949000,0.991
950000,0.997
951000,0.993
952000,0.995
953000,0.997
954000,0.997
955000,0.992
956000,0.99
957000,0.99
958000,0.996
959000,0.996
960000,0.993
961000,0.995
962000,0.994
963000,0.994
964000,0.992
965000,0.99
966000,0.994
967000,0.997
968000,0.993
969000,0.996
970000,0.993
971000,0.991
972000,0.996
973000,0.994
974000,0.996
975000,0.995
976000,0.994
977000,0.995
978000,0.998
979000,0.994
980000,0.998
981000,0.998
982000,0.993
983000,0.994
984000,0.994
985000,0.991
986000,0.988
987000,0.99
988000,0.994
989000,0.993
990000,0.99
991000,0.994
992000,0.995
993000,0.995
994000,0.994
995000,0.988
996000,0.993
997000,0.996
998000,0.997
999000,0.984
1000000,0.994
1001000,0.991
1002000,0.992
1003000,0.992
1004000,0.994
1005000,0.997
1006000,0.993
1007000,0.996
1008000,0.995
1009000,0.988
1010000,0.995
1011000,0.99
1012000,0.994
1013000,0.998
1014000,0.992
1015000,0.993
1016000,0.993
1017000,0.987
1018000,0.995
1019000,0.993
1020000,0.992
1021000,0.995
1022000,0.993
1023000,0.997
1024000,0.992
1025000,0.994
1026000,0.995
1027000,0.996
1028000,0.992
1029000,0.992
1030000,0.993
1031000,0.997
1032000,0.994
1033000,0.997
1034000,0.989
1035000,0.994
1036000,0.995
1037000,0.995
1038000,0.995
1039000,0.994
1040000,0.994
1041000,0.996
1042000,0.992
1043000,0.993
1044000,0.993
1045000,0.995
1046000,0.9935
1047000,0.991
1048000,0.993
1049000,0.993
1050000,0.998
1051000,0.987
1052000,0.992
1053000,0.99
1054000,0.995
1055000,0.993
1056000,0.996
1057000,0.997
1058000,0.991
1059000,0.995
1060000,0.992
1061000,0.994
1062000,0.995
1063000,0.993
1064000,0.992
1065000,0.994
1066000,0.995
1067000,0.992
1068000,0.99
1069000,0.99
1070000,0.995
1071000,0.992
1072000,0.992
1073000,0.993
1074000,0.995
1075000,0.998
1076000,0.993
1077000,0.993
1078000,0.989
1079000,0.998
1080000,0.99
1081000,0.996
1082000,0.994
1083000,0.992
1084000,0.992
1085000,0.992
1086000,0.992
1087000,0.996
1088000,0.997
1089000,0.992
1090000,0.993
1091000,0.99
1092000,0.994
1093000,0.993
1094000,0.99
1095000,0.991
1096000,0.993
1097000,0.993
1098000,0.994
1099000,0.99
1100000,0.994
1101000,0.996
1102000,0.994
1103000,0.995
1104000,0.995
1105000,0.997
1106000,0.996
1107000,0.994
1108000,0.991
1109000,0.999
1110000,0.995
1111000,0.994
1112000,0.994
1113000,0.991
1114000,0.99
1115000,0.992
1116000,0.996
1117000,0.997
1118000,0.991
1119000,0.992
1120000,0.999
1121000,0.997
1122000,0.991
1123000,0.99
1124000,0.991
1125000,0.998
1126000,0.995
1127000,0.995
1128000,0.993
1129000,0.994
1130000,0.995
1131000,0.994
1132000,0.991
1133000,0.991
1134000,0.997
1135000,0.983
1136000,0.993
1137000,0.995
1138000,0.993
1139000,0.993
1140000,0.99
1141000,0.999
1142000,0.993
1143000,0.998
1144000,0.996
1145000,0.994
1146000,0.995
1147000,0.997
1148000,0.994
1149000,0.992
1150000,0.993
1151000,0.994
1152000,0.991
1153000,0.996
1154000,0.993
1155000,0.995
1156000,0.995
1157000,0.994
1158000,0.996
1159000,0.996
1160000,0.997
